,min_1,min_2,min_3,min_4,min_5,min_6,min_7,min_8,min_9,min_10,min_11,min_12,min_13,min_14,min_15,min_16,min_17,min_18,min_19,min_20,min_21,min_22,min_23,min_24,min_25,min_26,min_27,min_28,min_29,min_30,min_31,min_32,min_33,min_34,min_35,min_36,min_37,min_38,min_39,min_40,min_41,min_42,min_43,min_44,min_45,min_46,min_47,min_48,min_49,min_50,min_51,min_52,min_53,min_54,min_55,min_56,min_57,min_58,min_59,min_60,min_61,min_62,min_63,min_64,min_65,min_66,min_67,min_68,min_69,min_70,min_71,min_72,min_73,min_74,min_75,min_76,min_77,min_78,min_79,min_80,min_81,min_82,min_83,min_84,min_85,min_86,min_87,min_88,min_89,min_90,min_91,min_92,min_93,min_94,min_95
0,0,0,-14,-65,-268,-431,-488,-789,-494,-625,-1044,-313,-760,-697,-790,-611,240,845.0,797.0,1422.0,987.0,169.0,432.0,491.0,1205.0,1527.0,1647.0,1847.0,3750.0,4719.0,3561.0,3367.0,2886.0,2906.0,4411.0,4473.0,4639.0,4762.0,4686.0,6057.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,-26,-18,147,237,-152,18,88,-242,102,117,802,1420,1394,1301,1489,1563.0,1368.0,1105.0,205.0,192.0,587.0,377.0,667.0,415.0,1876.0,1244.0,2130.0,2431.0,680.0,1520.0,949.0,1894.0,2644.0,3394.0,3726.0,1165.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,0,10,-60,34,37,589,1064,1258,913,1233,1597,1575,3046,2922,3074,3626,3466.0,5634.0,5293.0,4597.0,4360.0,4616.0,4489.0,4880.0,5865.0,6993.0,7049.0,7029.0,7047.0,7160.0,7081.0,7582.0,9917.0,10337.0,9823.0,12307.0,13201.0,13924.0,13915.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,-15,25,228,-6,-243,175,-346,16,-258,-57,-190,-111,-335,-8,324,428.0,-124.0,768.0,2712.0,1813.0,198.0,1242.0,1245.0,1278.0,1240.0,-664.0,-1195.0,-1157.0,-2161.0,-2504.0,-3873.0,-3688.0,-3801.0,-3668.0,-3612.0,-5071.0,-2825.0,-1464.0,-4507.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,40,40,44,-36,113,158,-121,-191,23,205,156,272,-271,-896,-574,177,-425,-730.0,-318.0,478.0,926.0,761.0,-286.0,473.0,490.0,1265.0,2526.0,3890.0,4319.0,5121.0,5140.0,5141.0,6866.0,9517.0,11322.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,20,-42,-48,-24,-219,-272,-319,-554,-507,-557,231,571,781,-820,-679,-2358.0,-3213.0,-3256.0,-3528.0,-6883.0,-6735.0,-7052.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,13,-7,6,-353,-215,-795,-764,369,359,1272,1297,1423,1940,1017,1168,951,1566.0,1388.0,2252.0,4167.0,4654.0,4779.0,4757.0,6601.0,7242.0,7864.0,8188.0,8819.0,10468.0,10500.0,9476.0,9231.0,9942.0,10855.0,10752.0,12532.0,11690.0,14093.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,0,26,91,-109,264,178,66,-65,206,561,635,-437,-214,-303,-523,310,422.0,1367.0,1365.0,1213.0,1110.0,2263.0,2842.0,3114.0,3601.0,3417.0,4095.0,4336.0,4441.0,548.0,1638.0,3723.0,4331.0,5514.0,5961.0,6835.0,6704.0,8622.0,8446.0,10977.0,10857.0,15396.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,-10,0,162,-269,-63,323,225,274,624,428,880,671,545,317,1054,1034,1864.0,2327.0,2170.0,1908.0,-783.0,586.0,893.0,1092.0,1688.0,589.0,366.0,1181.0,299.0,48.0,128.0,-582.0,-3348.0,-4829.0,-5011.0,-5067.0,-4971.0,-6531.0,-6722.0,-10914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,0,0,68,498,210,283,311,133,291,327,98,72,212,17,-183,488,-631.0,-896.0,-17.0,286.0,349.0,-179.0,1143.0,294.0,934.0,3183.0,3854.0,5277.0,5775.0,8445.0,10867.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,-10,-15,-274,-154,-49,134,122,391,423,534,462,611,704,1383,989,1711,2633.0,2806.0,2978.0,3074.0,4779.0,4782.0,4901.0,4710.0,5156.0,4819.0,4936.0,6265.0,6198.0,6537.0,6664.0,6800.0,6810.0,6492.0,6755.0,7299.0,7451.0,7574.0,7368.0,7063.0,7176.0,7524.0,7707.0,7880.0,7067.0,6844.0,6963.0,8097.0,9963.0,10528.0,12212.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,0,15,-91,-163,-45,-51,-192,-211,-361,-539,-72,-166,-244,-355,-1001,-688,-356.0,-526.0,888.0,450.0,-1022.0,-1845.0,-2079.0,-2586.0,-2084.0,-2484.0,-2165.0,-32.0,2345.0,1190.0,1054.0,1853.0,1533.0,1491.0,1613.0,1421.0,995.0,3912.0,752.0,-1116.0,-910.0,-1047.0,-1053.0,-971.0,498.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,40,40,56,30,14,30,249,-126,-110,-233,156,200,364,227,933,2143,1311,2171.0,2789.0,2715.0,2961.0,4680.0,4320.0,4688.0,4697.0,4197.0,4474.0,4674.0,4684.0,7340.0,7101.0,8917.0,8425.0,9320.0,9374.0,9210.0,10234.0,15884.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,0,6,-532,-286,-533,-556,-1535,-1925,-1686,-2688,-2713,-2462,-2771,-3055,-2971,-3718,-3848.0,-3675.0,-5737.0,-5423.0,-4776.0,-4799.0,-4914.0,-5119.0,-7095.0,-6895.0,-6752.0,-9541.0,-10063.0,-10854.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,0,0,708,460,753,874,907,965,891,1386,1759,1657,1951,2890,3406,3370,5388.0,5307.0,4906.0,5071.0,5167.0,5242.0,5204.0,5174.0,4973.0,5335.0,6291.0,8174.0,8520.0,9487.0,10173.0,10191.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,0,0,101,286,129,-59,1184,895,1028,1225,1761,1730,2715,4281,3653,3955,3747.0,3788.0,3340.0,3556.0,3412.0,4605.0,6113.0,5416.0,4767.0,4622.0,4913.0,4939.0,4384.0,4430.0,4110.0,4079.0,4307.0,4068.0,6742.0,5795.0,7085.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,10,-7,78,7,-146,206,75,-136,15,74,-496,-672,383,-832,-1726,-2348,-2074.0,-3275.0,-3127.0,-4284.0,-3966.0,-4073.0,-4934.0,-5242.0,-5228.0,-6740.0,-7569.0,-7808.0,-8491.0,-8960.0,-9816.0,-9979.0,-10888.0,-12400.0,-12490.0,-14931.0,-17765.0,-19807.0,-20606.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,0,0,-230,-137,-142,-231,-196,-12,922,243,209,308,1850,2353,1901,2359,2188.0,2343.0,2310.0,2275.0,2516.0,2361.0,2344.0,2545.0,2650.0,2839.0,2803.0,3075.0,3308.0,3922.0,4631.0,7469.0,8020.0,7928.0,7568.0,9772.0,11971.0,12327.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,15,35,8,-117,33,758,725,924,951,962,964,1160,1306,2285,2554,2221,1598.0,3184.0,3259.0,3374.0,2592.0,3623.0,3193.0,2382.0,2249.0,2205.0,3697.0,2753.0,255.0,2629.0,1915.0,1084.0,1396.0,1693.0,158.0,935.0,443.0,-814.0,2002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0,0,26,-26,-85,-63,-473,-1178,-1441,-1214,-1337,-1523,-1375,-1469,-1560,-339,340,1060.0,1041.0,730.0,156.0,92.0,1388.0,1516.0,1826.0,3388.0,3300.0,2911.0,2543.0,2138.0,2265.0,2782.0,2514.0,3166.0,3526.0,3501.0,2669.0,-673.0,-2297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,8,8,87,82,-39,-39,197,164,61,336,1530,1262,1355,877,1048,966,-298.0,79.0,194.0,656.0,591.0,399.0,505.0,-296.0,-270.0,-408.0,-306.0,-472.0,-661.0,-1656.0,-2028.0,-2076.0,-1487.0,-2312.0,-2969.0,-3036.0,-4564.0,-7342.0,-7470.0,-9298.0,-9874.0,-9868.0,-9603.0,-10302.0,-10683.0,-14005.0,-15140.0,-18207.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0,0,41,20,-101,21,226,410,-262,1160,1493,1450,1538,2727,2679,2462,3078,4788.0,4226.0,2758.0,3137.0,1613.0,1826.0,2297.0,3630.0,4157.0,4887.0,4552.0,4807.0,4572.0,4545.0,4212.0,6765.0,7375.0,10679.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,0,14,-373,-19,9,-38,18,9,-198,-135,-175,-421,-374,-598,-391,-233,40.0,39.0,-908.0,-509.0,338.0,92.0,327.0,-1816.0,-3931.0,-4353.0,-6058.0,-6635.0,-7035.0,-7215.0,-7562.0,-9952.0,-11764.0,-12445.0,-12756.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0,-5,-5,205,246,431,761,918,1019,1089,980,92,142,518,424,1411,2040,872.0,1083.0,1042.0,1212.0,1203.0,1611.0,2003.0,2079.0,3640.0,3373.0,4560.0,5667.0,5803.0,7128.0,8326.0,8469.0,11306.0,10845.0,11420.0,11858.0,11946.0,13859.0,13974.0,15002.0,14643.0,15809.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,0,0,-70,-182,-590,-153,-250,-107,-523,-822,-1542,-2664,-3208,-3345,-3924,-8082,-8078.0,-7423.0,-7916.0,-7709.0,-8093.0,-9762.0,-12461.0,-11139.0,-10056.0,-10206.0,-10617.0,-11805.0,-12438.0,-14128.0,-17768.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0,0,-8,50,745,777,1029,1360,1421,1843,2167,2962,3302,3412,4152,4292,5525,4911.0,5126.0,4627.0,4554.0,4090.0,3957.0,4331.0,4883.0,4967.0,5218.0,7462.0,8044.0,9278.0,11389.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0,0,28,32,114,139,390,507,277,1365,1462,2068,2326,2592,2149,1959,2368,2594.0,2691.0,3312.0,3409.0,4262.0,4954.0,6766.0,4637.0,5019.0,4573.0,6921.0,7148.0,8122.0,8921.0,8420.0,8996.0,10014.0,9620.0,14013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0,10,48,279,2,-236,-12,-121,282,399,413,163,45,-123,-48,208,297,-30.0,107.0,58.0,-1087.0,-20.0,1255.0,1422.0,-355.0,-2761.0,-1918.0,-3148.0,-3065.0,-1915.0,-2720.0,-3308.0,-4392.0,-4699.0,-4743.0,-5577.0,-5449.0,-6281.0,-6175.0,-5691.0,-8494.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0,517,519,680,422,698,1342,1848,2232,2440,3972,4996,5118,5268,5668,4978,4705,5024.0,5026.0,5096.0,6317.0,6087.0,5645.0,5955.0,7819.0,9300.0,9263.0,10780.0,12249.0,14276.0,17675.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0,0,0,-53,-18,133,-318,-280,-130,-462,-191,-151,1232,1014,3205,3686,4369,4503.0,4394.0,4912.0,6448.0,6516.0,8789.0,8758.0,8880.0,9122.0,9519.0,10752.0,12019.0,15337.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0,-28,-34,-105,-11,-15,89,295,-15,-62,842,1392,551,1325,1012,1427,1734,961.0,775.0,1401.0,1502.0,77.0,39.0,281.0,-111.0,-212.0,281.0,721.0,769.0,945.0,1074.0,1013.0,290.0,585.0,677.0,871.0,-1374.0,-1338.0,-1893.0,-2774.0,-3597.0,-5506.0,-4949.0,-5036.0,-6778.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0,0,-7,74,131,11,-335,-98,-286,-366,-529,-814,-480,-1155,-1223,-1165,645,241.0,-590.0,-612.0,-644.0,-583.0,-476.0,1298.0,1618.0,2435.0,2398.0,2929.0,4453.0,4864.0,5131.0,4424.0,4175.0,5288.0,4535.0,4629.0,5104.0,5028.0,7088.0,8595.0,7597.0,9758.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0,-5,-38,49,-232,-99,-163,-339,-1154,-1385,-2197,-2407,-2658,-2779,-2123,-3087,-3334,-4110.0,-4635.0,-4509.0,-5101.0,-5264.0,-5664.0,-7221.0,-10424.0,-11139.0,-14651.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0,0,-2,-28,-8,89,-79,-157,-2020,-1818,-1828,-3457,-4400,-6530,-7382,-7622,-8434,-8350.0,-9785.0,-9520.0,-9922.0,-10508.0,-10386.0,-10533.0,-8702.0,-10258.0,-10553.0,-13962.0,-13787.0,-13675.0,-13370.0,-13075.0,-14782.0,-15991.0,-16543.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
