,Year,bResult,rResult,gamelength
0,2015,1,0,40
1,2015,0,1,38
2,2015,1,0,40
3,2015,0,1,41
4,2015,1,0,35
5,2015,0,1,24
6,2015,1,0,39
7,2015,1,0,43
8,2015,0,1,41
9,2015,1,0,32
10,2015,1,0,52
11,2015,1,0,46
12,2015,1,0,38
13,2015,0,1,31
14,2015,1,0,33
15,2015,1,0,38
16,2015,0,1,40
17,2015,1,0,39
18,2015,1,0,40
19,2015,0,1,39
20,2015,0,1,49
21,2015,1,0,35
22,2015,0,1,36
23,2015,1,0,43
24,2015,0,1,32
25,2015,1,0,31
26,2015,1,0,36
27,2015,0,1,41
28,2015,1,0,31
29,2015,1,0,30
30,2015,0,1,45
31,2015,1,0,42
32,2015,0,1,27
33,2015,0,1,35
34,2015,0,1,43
35,2015,1,0,37
36,2015,1,0,40
37,2015,0,1,46
38,2015,1,0,48
39,2015,1,0,39
40,2015,0,1,40
41,2015,0,1,49
42,2015,1,0,37
43,2015,0,1,35
44,2015,1,0,24
45,2015,1,0,44
46,2015,1,0,54
47,2015,0,1,47
48,2015,0,1,33
49,2015,1,0,30
50,2015,0,1,34
51,2015,1,0,49
52,2015,1,0,29
53,2015,1,0,33
54,2015,1,0,29
55,2015,1,0,33
56,2015,1,0,30
57,2015,1,0,42
58,2015,0,1,55
59,2015,1,0,38
60,2015,1,0,51
61,2015,0,1,36
62,2015,0,1,46
63,2015,1,0,40
64,2015,0,1,46
65,2015,1,0,46
66,2015,1,0,37
67,2015,0,1,29
68,2015,1,0,45
69,2015,1,0,31
70,2015,0,1,31
71,2015,0,1,33
72,2015,0,1,37
73,2015,1,0,38
74,2015,0,1,45
75,2015,0,1,40
76,2015,1,0,42
77,2015,1,0,47
78,2015,1,0,42
79,2015,0,1,37
80,2015,0,1,45
81,2015,0,1,34
82,2015,1,0,36
83,2015,0,1,36
84,2015,0,1,42
85,2015,1,0,35
86,2015,1,0,40
87,2015,0,1,33
88,2015,1,0,34
89,2015,0,1,34
90,2015,0,1,46
91,2015,1,0,28
92,2015,1,0,46
93,2015,0,1,44
94,2015,1,0,33
95,2015,0,1,34
96,2015,0,1,43
97,2015,1,0,42
98,2015,1,0,35
99,2015,0,1,40
100,2015,1,0,35
101,2015,0,1,43
102,2015,0,1,33
103,2015,0,1,36
104,2015,1,0,43
105,2015,0,1,38
106,2015,1,0,50
107,2015,0,1,37
108,2015,0,1,33
109,2015,0,1,40
110,2015,0,1,48
111,2015,0,1,44
112,2015,0,1,39
113,2015,0,1,44
114,2015,1,0,40
115,2015,1,0,30
116,2015,0,1,31
117,2015,1,0,31
118,2015,1,0,48
119,2015,0,1,36
120,2015,0,1,36
121,2015,1,0,49
122,2015,1,0,40
123,2015,0,1,39
124,2015,0,1,42
125,2015,1,0,34
126,2015,1,0,36
127,2015,1,0,51
128,2015,0,1,48
129,2015,1,0,48
130,2015,0,1,36
131,2015,0,1,54
132,2015,0,1,44
133,2015,1,0,37
134,2015,1,0,41
135,2015,1,0,38
136,2015,1,0,30
137,2015,1,0,49
138,2015,1,0,29
139,2015,1,0,39
140,2015,1,0,36
141,2015,1,0,49
142,2015,1,0,32
143,2015,0,1,55
144,2015,0,1,42
145,2015,0,1,28
146,2015,1,0,38
147,2015,1,0,43
148,2015,0,1,40
149,2015,0,1,41
150,2015,0,1,29
151,2015,1,0,40
152,2015,1,0,43
153,2015,0,1,29
154,2015,1,0,40
155,2015,1,0,40
156,2015,1,0,34
157,2015,0,1,39
158,2015,1,0,25
159,2015,0,1,45
160,2015,1,0,40
161,2015,1,0,41
162,2015,1,0,29
163,2015,1,0,40
164,2015,1,0,38
165,2015,0,1,57
166,2015,0,1,52
167,2015,1,0,27
168,2015,0,1,51
169,2015,0,1,36
170,2015,0,1,37
171,2015,0,1,49
172,2015,0,1,42
173,2015,0,1,30
174,2015,0,1,35
175,2015,0,1,58
176,2015,1,0,38
177,2015,0,1,32
178,2015,1,0,28
179,2015,0,1,32
180,2015,0,1,33
181,2015,1,0,60
182,2015,0,1,33
183,2015,1,0,29
184,2015,1,0,36
185,2015,0,1,40
186,2015,1,0,35
187,2015,0,1,33
188,2015,1,0,26
189,2015,1,0,43
190,2015,0,1,32
191,2015,0,1,26
192,2015,0,1,41
193,2015,1,0,33
194,2015,1,0,39
195,2015,0,1,42
196,2015,1,0,32
197,2015,0,1,39
198,2015,0,1,42
199,2015,0,1,30
200,2015,0,1,30
201,2015,1,0,38
202,2015,1,0,42
203,2015,0,1,41
204,2015,1,0,30
205,2015,0,1,37
206,2015,0,1,34
207,2015,0,1,43
208,2015,1,0,35
209,2015,0,1,33
210,2015,1,0,41
211,2015,0,1,38
212,2015,1,0,38
213,2015,0,1,40
214,2015,1,0,47
215,2015,1,0,32
216,2015,0,1,30
217,2015,1,0,44
218,2015,0,1,40
219,2015,1,0,28
220,2015,0,1,54
221,2015,1,0,56
222,2015,1,0,44
223,2015,1,0,38
224,2015,1,0,41
225,2015,1,0,38
